Date       ,Time       ,Transaction Platform,Spend,Expense/Revenue,Transaction Type
10/4/2018,9:46:58 AM,other platforms,-15,Expense,Cultural educational and recreational articles and services
10/2/2018,5:47:45 AM,other platforms,-354.12,Expense,Food
9/26/2018,12:15:33 AM,other platforms,-70,Expense,Cultural educational and recreational articles and services
9/19/2018,5:15:12 PM,other platforms,-68,Expense,Others
9/16/2018,3:25:51 AM,other platforms,-360.59,Expense,Others
9/16/2018,1:11:50 AM,Alipay Website,-4867.12,Expense,Others
9/14/2018,12:11:48 AM,Alipay Website,3200,Revenue,Account Transfer
9/10/2018,12:46:00 PM,other platforms,-12,Expense,Cultural educational and recreational articles and services
9/10/2018,8:34:24 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
9/9/2018,2:34:48 PM,other platforms,-27,Expense,Others
9/9/2018,10:52:10 AM,Taobao,-198,Expense,Cultural educational and recreational articles and services
9/6/2018,2:43:35 PM,other platforms,-446.08,Expense,Food
9/4/2018,8:45:40 AM,other platforms,-15,Expense,Cultural educational and recreational articles and services
9/3/2018,10:54:15 AM,Alipay Website,120,Revenue,Account Transfer
9/3/2018,12:11:14 AM,other platforms,-118,Expense,Cultural educational and recreational articles and services
9/2/2018,11:18:46 AM,other platforms,-163,Expense,Cultural educational and recreational articles and services
9/2/2018,11:13:26 AM,other platforms,-163,Expense,Cultural educational and recreational articles and services
8/30/2018,11:16:44 PM,Alipay Website,4080,Revenue,Account Transfer
8/29/2018,5:27:11 AM,other platforms,-128,Expense,Cultural educational and recreational articles and services
8/27/2018,3:04:12 AM,other platforms,-18,Expense,Cultural educational and recreational articles and services
8/26/2018,12:16:27 AM,other platforms,-70,Expense,Cultural educational and recreational articles and services
8/22/2018,9:48:58 PM,other platforms,-6,Expense,Cultural educational and recreational articles and services
8/19/2018,5:15:29 PM,other platforms,-68,Expense,Others
8/18/2018,2:38:26 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
8/15/2018,12:43:58 PM,other platforms,-6,Expense,Food
8/15/2018,12:40:13 PM,other platforms,-179,Expense,Food
8/14/2018,8:08:16 PM,other platforms,-21.9,Expense,Food
8/14/2018,6:55:19 PM,other platforms,-3,Expense,Others
8/14/2018,4:31:19 PM,other platforms,-36.88,Expense,Tranportation
8/14/2018,11:53:15 AM,other platforms,-30.66,Expense,Tranportation
8/14/2018,12:41:41 AM,other platforms,-32.28,Expense,Tranportation
8/13/2018,7:30:59 PM,other platforms,-58.5,Expense,Food
8/12/2018,5:51:39 PM,other platforms,-24.92,Expense,Tranportation
8/11/2018,7:14:59 PM,other platforms,-25,Expense,Food
8/11/2018,7:12:56 PM,other platforms,-50.5,Expense,Food
8/10/2018,5:12:08 PM,other platforms,-13,Expense,Tranportation
8/10/2018,2:06:46 PM,other platforms,-88,Expense,Cultural educational and recreational articles and services
8/9/2018,2:46:07 PM,Taobao,-298,Expense,Others
8/9/2018,1:35:25 PM,Taobao,-178,Expense,Others
8/8/2018,7:46:53 PM,other platforms,-18,Expense,Food
8/8/2018,8:49:42 AM,other platforms,-388,Expense,Cultural educational and recreational articles and services
8/8/2018,8:48:52 AM,other platforms,-388,Expense,Cultural educational and recreational articles and services
8/8/2018,8:47:29 AM,other platforms,-388,Expense,Cultural educational and recreational articles and services
8/8/2018,8:46:53 AM,other platforms,-388,Expense,Cultural educational and recreational articles and services
8/7/2018,8:46:52 PM,other platforms,-16.8,Expense,Food
8/7/2018,9:51:54 AM,other platforms,-328,Expense,Cultural educational and recreational articles and services
8/6/2018,6:13:24 PM,other platforms,-25,Expense,Others
8/6/2018,11:17:03 AM,Alipay Website,1600,Revenue,Account Transfer
